FTHG,FTAG,HTR,HTHG,AST,HTAG,AF,HST,BWA,HS
3.0,0.0,2,1.0,1.0,0.0,14.0,9.0,6.0,19.0
1.0,0.0,2,1.0,3.0,0.0,19.0,2.0,2.65,9.0
0.0,3.0,0,0.0,6.0,1.0,9.0,3.0,3.0,11.0
4.0,1.0,2,2.0,2.0,1.0,10.0,12.0,11.5,27.0
0.0,0.0,1,0.0,3.0,0.0,23.0,1.0,2.3,5.0
1.0,1.0,1,0.0,2.0,0.0,13.0,7.0,5.5,26.0
2.0,3.0,2,1.0,9.0,0.0,8.0,7.0,3.7,17.0
1.0,1.0,1,1.0,5.0,1.0,13.0,4.0,1.57,10.0
2.0,2.0,0,1.0,3.0,2.0,18.0,6.0,6.75,12.0
1.0,2.0,1,0.0,5.0,0.0,7.0,6.0,1.9,12.0
1.0,4.0,1,1.0,8.0,1.0,11.0,2.0,1.71,9.0
2.0,1.0,2,1.0,3.0,0.0,15.0,6.0,2.4,13.0
3.0,0.0,2,1.0,0.0,0.0,14.0,7.0,13.0,21.0
5.0,2.0,2,3.0,4.0,2.0,16.0,5.0,3.5,12.0
1.0,4.0,1,1.0,6.0,1.0,6.0,2.0,1.93,9.0
2.0,1.0,2,2.0,3.0,1.0,12.0,5.0,2.7,11.0
2.0,1.0,2,1.0,4.0,0.0,7.0,8.0,2.75,16.0
1.0,0.0,1,0.0,0.0,0.0,8.0,3.0,3.4,12.0
1.0,1.0,0,0.0,4.0,1.0,13.0,5.0,3.7,19.0
1.0,0.0,2,1.0,5.0,0.0,14.0,3.0,4.8,8.0
2.0,2.0,1,1.0,3.0,1.0,10.0,2.0,2.05,3.0
1.0,2.0,2,1.0,5.0,0.0,7.0,11.0,5.5,20.0
2.0,0.0,2,1.0,2.0,0.0,10.0,8.0,4.4,21.0
1.0,0.0,2,1.0,5.0,0.0,15.0,1.0,3.9,6.0
1.0,2.0,1,0.0,5.0,0.0,19.0,3.0,2.3,17.0
0.0,1.0,1,0.0,8.0,0.0,5.0,4.0,2.6,16.0
0.0,2.0,0,0.0,4.0,1.0,6.0,4.0,1.3,11.0
1.0,1.0,1,1.0,6.0,1.0,9.0,3.0,2.05,14.0
2.0,3.0,2,1.0,5.0,0.0,11.0,5.0,7.0,12.0
0.0,1.0,1,0.0,1.0,0.0,8.0,4.0,3.8,10.0
1.0,1.0,0,0.0,5.0,1.0,16.0,5.0,3.0,13.0
2.0,1.0,2,1.0,5.0,0.0,8.0,8.0,11.0,25.0
2.0,0.0,1,0.0,5.0,0.0,11.0,5.0,1.75,12.0
2.0,2.0,2,1.0,3.0,0.0,19.0,5.0,3.0,14.0
0.0,1.0,0,0.0,2.0,1.0,9.0,5.0,3.2,11.0
0.0,1.0,0,0.0,3.0,1.0,11.0,5.0,2.0,16.0
4.0,1.0,0,0.0,4.0,1.0,11.0,8.0,5.0,17.0
4.0,1.0,2,2.0,1.0,0.0,14.0,11.0,13.0,21.0
1.0,1.0,1,1.0,2.0,1.0,7.0,5.0,3.6,9.0
4.0,2.0,2,2.0,4.0,1.0,11.0,4.0,5.0,17.0
2.0,0.0,2,1.0,0.0,0.0,15.0,5.0,2.75,11.0
2.0,1.0,2,1.0,3.0,0.0,7.0,7.0,2.7,12.0
3.0,1.0,2,1.0,1.0,0.0,13.0,6.0,7.25,15.0
3.0,0.0,2,1.0,3.0,0.0,14.0,6.0,4.2,13.0
1.0,1.0,2,1.0,5.0,0.0,17.0,7.0,6.5,20.0
3.0,2.0,1,1.0,5.0,1.0,14.0,4.0,2.35,10.0
3.0,0.0,2,1.0,2.0,0.0,17.0,4.0,5.5,17.0
0.0,3.0,1,0.0,7.0,0.0,11.0,3.0,2.2,6.0
1.0,0.0,1,0.0,0.0,0.0,19.0,2.0,8.25,14.0
0.0,1.0,0,0.0,2.0,1.0,11.0,3.0,8.75,28.0
