date,home_team,away_team,score,stats_url,uid
Saturday 03 May 2025,St. Johnstone FC,Kilmarnock FC,0 - 2,https://www.football.co.uk/match-reports/st_johnstone/st_johnstone/3536372-9/,Saturday 03 May 2025|St. Johnstone FC|Kilmarnock FC
Friday 02 May 2025,Manchester City FC,Wolverhampton Wanderers FC,1 - 0,https://www.football.co.uk/match-reports/manchester_city/manchester_city/3497758-9/,Friday 02 May 2025|Manchester City FC|Wolverhampton Wanderers FC
Thursday 01 May 2025,Nottingham Forest FC,Brentford FC,0 - 2,https://www.football.co.uk/match-reports/nottingham_forest/nottingham_forest/3497747-9/,Thursday 01 May 2025|Nottingham Forest FC|Brentford FC
Wednesday 30 April 2025,Blackpool FC,Birmingham City FC,0 - 2,https://www.football.co.uk/match-reports/blackpool/blackpool/3501466-9/,Wednesday 30 April 2025|Blackpool FC|Birmingham City FC
Wednesday 30 April 2025,Mansfield Town FC,Peterborough United FC,4 - 2,https://www.football.co.uk/match-reports///3501472-9/,Wednesday 30 April 2025|Mansfield Town FC|Peterborough United FC
Tuesday 29 April 2025,Burton Albion FC,Wigan Athletic FC,1 - 1,https://www.football.co.uk/match-reports/burton_albion/burton_albion/3501419-9/,Tuesday 29 April 2025|Burton Albion FC|Wigan Athletic FC
Monday 28 April 2025,Leeds United FC,Bristol City FC,4 - 0,https://www.football.co.uk/match-reports/leeds_united/leeds_united/3500952-9/,Monday 28 April 2025|Leeds United FC|Bristol City FC
Sunday 27 April 2025,Liverpool FC,Tottenham Hotspur FC,5 - 1,https://www.football.co.uk/match-reports/liverpool/liverpool/3497744-9/,Sunday 27 April 2025|Liverpool FC|Tottenham Hotspur FC
Sunday 27 April 2025,AFC Bournemouth,Manchester United FC,1 - 1,https://www.football.co.uk/match-reports/afc_bournemouth/afc_bournemouth/3497740-9/,Sunday 27 April 2025|AFC Bournemouth|Manchester United FC
Sunday 27 April 2025,Birmingham City FC,Mansfield Town FC,4 - 0,https://www.football.co.uk/match-reports/birmingham_city/birmingham_city/3501502-9/,Sunday 27 April 2025|Birmingham City FC|Mansfield Town FC
Sunday 27 April 2025,Stevenage FC,Rotherham United FC,1 - 1,https://www.football.co.uk/match-reports/stevenage/stevenage/3501509-9/,Sunday 27 April 2025|Stevenage FC|Rotherham United FC
Saturday 26 April 2025,Newcastle United FC,Ipswich Town FC,3 - 0,https://www.football.co.uk/match-reports/newcastle_united/newcastle_united/3497746-9/,Saturday 26 April 2025|Newcastle United FC|Ipswich Town FC
Saturday 26 April 2025,Wrexham AFC,Charlton Athletic FC,3 - 0,https://www.football.co.uk/match-reports///3501512-9/,Saturday 26 April 2025|Wrexham AFC|Charlton Athletic FC
